timestamp,route_id,trip_id,stop_id,scheduled_departure,actual_departure,mode
2025-09-01 00:00:00,42U,27550931U,144,2025-09-01 00:00:00,2025-09-01 00:05:49.271109648,bus
2025-09-01 00:00:00,81U,27650574U,414,2025-09-01 00:00:00,2025-09-01 00:19:49.699260426,bus
2025-09-01 00:00:00,N04U,22450453U,3026,2025-09-01 00:00:00,2025-09-01 00:01:06.630963450,bus
2025-09-01 00:00:04,61U,27553316U,881,2025-09-01 00:00:04,2025-09-01 00:23:09.465156388,bus
2025-09-01 00:00:21,49U,27561063U,404,2025-09-01 00:00:21,2025-09-01 00:02:15.117714336,bus
2025-09-01 00:00:44,4U,27567800U,1694,2025-09-01 00:00:44,2025-09-01 00:07:44.641130570,tram
2025-09-01 00:00:56,18U,27557967U,3110,2025-09-01 00:00:56,2025-09-01 00:11:28.467198848,bus
2025-09-01 00:01:00,13U,27565801U,3025,2025-09-01 00:01:00,2025-09-01 00:03:59.336591202,tram
2025-09-01 00:01:00,15U,27547511U,3025,2025-09-01 00:01:00,2025-08-31 23:58:00.000000000,tram
2025-09-01 00:01:00,18U,27643960U,1765,2025-09-01 00:01:00,2025-09-01 00:05:07.483810848,bus
2025-09-01 00:01:00,67U,27657853U,2796,2025-09-01 00:01:00,2025-09-01 00:08:24.253773930,bus
2025-09-01 00:01:11,67U,27569980U,459,2025-09-01 00:01:11,2025-09-01 00:04:43.905806648,bus
2025-09-01 00:01:17,35U,27653373U,2672,2025-09-01 00:01:17,2025-09-01 00:05:10.229794556,bus
2025-09-01 00:01:17,75U,27640894U,3772,2025-09-01 00:01:17,2025-08-31 23:59:13.360434560,bus
2025-09-01 00:01:19,11U,27642841U,2819,2025-09-01 00:01:19,2025-09-01 00:10:19.776367804,bus
2025-09-01 00:01:19,13U,27565731U,2988,2025-09-01 00:01:19,2025-09-01 00:04:38.198507470,tram
2025-09-01 00:01:42,18U,27634322U,3132,2025-09-01 00:01:42,2025-08-31 23:58:42.000000000,bus
2025-09-01 00:01:43,CP1U,27650894U,2488,2025-09-01 00:01:43,2025-09-01 00:03:01.155402208,bus
2025-09-01 00:02:04,56U,27569018U,2712,2025-09-01 00:02:04,2025-09-01 00:08:43.609626826,bus
2025-09-01 00:02:06,18U,27566423U,3141,2025-09-01 00:02:06,2025-09-01 00:03:09.808956456,bus
2025-09-01 00:02:09,72U,27554517U,1461,2025-09-01 00:02:09,2025-08-31 23:59:50.066066790,bus
2025-09-01 00:02:09,81U,27564568U,3248,2025-09-01 00:02:09,2025-09-01 00:02:49.111288800,bus
2025-09-01 00:02:18,41U,27560425U,1707,2025-09-01 00:02:18,2025-09-01 00:01:52.711787064,bus
2025-09-01 00:02:23,13U,27557067U,2990,2025-09-01 00:02:23,2025-09-01 00:03:59.148429836,tram
2025-09-01 00:02:37,63U,27655616U,3082,2025-09-01 00:02:37,2025-09-01 00:07:42.884224948,bus
2025-09-01 00:02:38,M1SU,27564936U,1869,2025-09-01 00:02:38,2025-09-01 00:05:17.010895586,bus
2025-09-01 00:02:38,M1SU,27650929U,1869,2025-09-01 00:02:38,2025-08-31 23:59:38.000000000,bus
2025-09-01 00:02:45,17U,27595583U,3813,2025-09-01 00:02:45,2025-09-01 00:00:00.610754778,bus
2025-09-01 00:02:51,15U,27651907U,3198,2025-09-01 00:02:51,2025-09-01 00:01:13.090067136,tram
2025-09-01 00:03:00,67U,27563320U,2520,2025-09-01 00:03:00,2025-09-01 00:04:12.027832704,bus
2025-09-01 00:03:00,CP1U,27555902U,2423,2025-09-01 00:03:00,2025-09-01 00:00:23.428176264,bus
2025-09-01 00:03:11,33U,27645050U,3649,2025-09-01 00:03:11,2025-09-01 00:07:36.853547078,bus
2025-09-01 00:03:17,66U,27563160U,259,2025-09-01 00:03:17,2025-09-01 00:02:44.957397464,bus
2025-09-01 00:03:24,11U,27632787U,1444,2025-09-01 00:03:24,2025-09-01 00:05:41.474456820,bus
2025-09-01 00:03:39,16CSU,27652171U,3407,2025-09-01 00:03:39,2025-09-01 00:05:23.258708604,tram
2025-09-01 00:03:40,81U,27564584U,3738,2025-09-01 00:03:40,2025-09-01 00:06:14.454408004,bus
2025-09-01 00:03:42,CP1U,27641806U,2424,2025-09-01 00:03:42,2025-09-01 00:08:16.889857014,bus
2025-09-01 00:03:43,10NU,27626596U,2825,2025-09-01 00:03:43,2025-09-01 00:07:44.186068924,bus
2025-09-01 00:03:44,2U,27548556U,335,2025-09-01 00:03:44,2025-09-01 00:08:11.732926106,bus
2025-09-01 00:04:00,2U,27548641U,3546,2025-09-01 00:04:00,2025-09-01 00:10:19.584989514,bus
2025-09-01 00:04:00,50U,27561305U,328,2025-09-01 00:04:00,2025-09-01 00:02:18.156254874,bus
2025-09-01 00:04:03,13U,27651718U,2995,2025-09-01 00:04:03,2025-09-01 00:01:05.598839418,tram
2025-09-01 00:04:09,36U,27571068U,1819,2025-09-01 00:04:09,2025-09-01 00:07:08.576114046,bus
2025-09-01 00:04:35,26U,27652720U,1805,2025-09-01 00:04:35,2025-09-01 00:08:16.752571274,bus
2025-09-01 00:05:11,55U,27631013U,1647,2025-09-01 00:05:11,2025-09-01 00:04:27.907294394,bus
2025-09-01 00:05:18,64U,27648907U,3150,2025-09-01 00:05:18,2025-09-01 00:02:18.000000000,bus
2025-09-01 00:06:00,17U,27634150U,8143,2025-09-01 00:06:00,2025-09-01 00:08:26.830623654,bus
